id,grade,location,issue,action
A1,A,D3/D8/D14/D19,"SCS205KNHR 리드 배정 미검증. 보드는 탭=리드2=K(PHV), 리드3=A","ROHM 데이터시트 1쪽 ""Inner circuit"" 확인. 리드2 가 A 또는 NC 이면 PSM 수정"
A2,A,T1/T3/T5/T7,"PA1005 패드 7/8 위치가 제조사 모델과 반대, 4–6번 기능 미확인(보드는 PV_A+ 연결)","제조사 도면으로 7/8 위치·도트 확인, 4–6 이 NC 면 PV_A+ 연결 해제"
A3,A,"U13 핀 1, 8",2EDN7524R ENA/ENB 가 NC (Net_3/Net_4 비아만),데이터시트 EN 내부 풀업 여부와 무관하게 VDD 로 10 kΩ 풀업하거나 MCU 로 제어
A4,A,U18,"USB-C GND 핀이 R145 1 MΩ ∥ C117 4.7 nF 뒤, 쉘이 GND 직결. MH5/MH6 패드 없음","A1/A12/B1/B12 → GND 직결, 쉘(MH1–6) → 1 MΩ∥4.7 nF → GND. MH5/MH6 패드 추가"
A5,A,ISO1,ELD207 연면 3.95 mm,TLP383 ×2 등 SO6L 8 mm 급으로 교체
A6,A,"우상단 계통 센싱 (x 236–249, y 164–231)",1차 GND 동박 0.2–4.1 mm,GND 존 후퇴 8 mm + 슬롯
A7,A,J24/C69/C70/C119/C64/D34/U15,PE(N17817694) ↔ 1차 0.2–1.3 mm,PE 경로 재배선
A8,A,C46/C47/R82/R83/R188,GND ↔ PHV/PGND 1.66–2.75 mm,L2/BOTTOM GND 존 후퇴
A9,A,R219/R228,20 MΩ 단일 2512 가 보강절연 브리지,"직렬 2개 이상(각각 전압 정격) + 8 mm 연면 + 슬롯, 또는 절연 증폭"
A10,A,"C63.2, R42.1, J5/J10","GND_EARTH 미연결, 무넷 도금홀 단락","FGND 풋프린트의 8개 홀을 핀 1 과 같은 넷으로 지정(또는 비도금), 끊긴 GND_EARTH 연결"
A11,A,U18 노치,외곽선 비폐합·자기교차,"외곽을 하나의 폐곡선으로 재작성, 풋프린트 안 외곽 요소 제거"
A12,A,Q13/Q14 저측 N17958142/N17958869,1.0 mm 트랙,3 mm 이상 또는 존 + 2층 병렬
A13,A,R297,보드에만 존재,"회로도에 추가 후 넷리스트 재생성, 또는 보드에서 삭제"
B1,B,ISO2/3/4,연면 7.6–7.9 mm,1 mm 슬롯 또는 와이드리드형
B2,B,RV2/C57/C48/C53/RV4,2차–PE 2.8–3.7 mm (요구 4.0),존 후퇴
B3,B,"Q1–Q8, Q10",SuperSO8 드레인 동박 4분할 (0.15 mm 간격),"단일 드레인 패드, 페이스트만 분할"
B4,B,U16 STM32 LQFP128,패드폭 0.30 @0.4,0.25 × 1.475
B5,B,전원 THT,"starved_thermal (T9, RV3, J15, C64–C66, R96, R99, L12 …)",풀 연결 또는 스포크 강화
B6,B,"EC 전해캡, L7/L8, C56, RV",링폭 0.25 mm,패드 = 드릴 + 1.0 mm
B7,B,J1… 250T-1,"슬롯 링 0.25 mm, 제조사 불명","정격 ≥20 A 품목 확정, 패드 확대"
B8,B,"U1 (5,9,11,13), U5 (11,13)",CMOS 입력 플로팅,GND 또는 VCC 고정
B9,B,U4/U11 TLV9062 ch2,미사용 채널 입력 플로팅,전압폴로어 + 입력 GND/VREF
B10,B,ESP32 킵아웃,"트랙 12건, USB-C 쉘 5.9 mm",§8
B11,B,USB CC 등,트랙 0.1447 mm,0.2 mm 이상
B12,B,중복 비아 3쌍,드릴 파손,삭제
B13,B,전 보드,클리어런스·홀 클리어런스·마스크 브리지,제조사 공정능력으로 Allegro DRC 재실행 후 0건
B14,B,LS1,G2RG 일반형,PV 인버터 계통 분리 요건(접점 간극)을 만족하는 G2RG-X 등 검토
C1,C,,실크 0.6 mm,0.8 mm / 선폭 0.1 mm
C2,C,,피듀셜 없음,양면 3개 + LQFP 로컬 2개
C3,C,,테스트 포인트 없음,§9 목록 추가
C4,C,,양면 SMT + 대형 THT,"선택납땜 공정, 하면 킵아웃"
C5,C,,NC 151핀을 넷리스트에서 한 넷으로 묶음,핀별 NC 속성
C6,C,,TSW1 PSM 대소문자,라이브러리 이름 통일
C7,C,,U13 심볼명 1ED3491MC12M,2EDN7524R 심볼로 교체
C8,C,,F1–R90–L8 경로 존 21 mm²,폭 6 mm 이상으로 확장
C9,C,,USB 만으로 3.3 V 불가,프로그래밍용 5 V→3.3 V LDO OR 검토
C10,C,,"T2–T9 보빈, 250T-1, L7/L8, LF19S 제조사 도면 미확보",공급사 도면으로 핀 지름·위치 확정
